Index,Price,Currency,Condition,Vehicle_brand,Vehicle_model,Vehicle_version,Vehicle_generation,Production_year,Mileage_km,Power_HP,Displacement_cm3,Fuel_type,CO2_emissions,Drive,Transmission,Type,Doors_number,Colour,Origin_country,First_owner,First_registration_date,Offer_publication_date,Offer_location,Features
206995,173500,PLN,New,Volvo,XC 40,B4 B AWD Momentum Pro,,2021,1.0,197.0,1969.0,Gasoline,,Front wheels,Automatic,SUV,5.0,gray,Poland,,,04/05/2021,"73-PUŁKU PIECHOTY 1 - 40-467 Katowice, Giszowiec (Polska)",['Automatic air conditioning']
20799,169000,PLN,New,BMW,Seria 1,128ti sport,F40 (2019-),2020,1.0,265.0,1998.0,Gasoline,,Front wheels,Automatic,compact,5.0,black,,,,03/05/2021,"ul.Obornicka 235 - 60-650 Poznań, Stare Miasto (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Parking assistant', 'Front parking sensors', 'Electrochromic rear view mirror', 'ESP(stabilization of the track)', 'Rear view camera', 'On-board computer', 'GPS navigation', 'Airbag protecting the knees', 'Start-Stop system', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Bluetooth', 'Rear parking sensors', 'Electric rear windows', 'USB socket', 'Automatic air conditioning', 'Air curtains', 'Heated side mirrors', 'Front side airbags', 'Daytime running lights', 'Cruise control', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Rain sensor', 'Electrochromic side mirrors', 'Electrically adjustable seats', 'Isofix', 'Dual zone air conditioning', 'MP3', 'Heated front seats', 'Rear side airbags', 'LED lights', 'Multifunction steering wheel']"
16807,229900,PLN,New,Audi,Q7,45 TDI Quattro S Line Tiptr,II (2015-),2021,1.0,231.0,2967.0,Diesel,181.0,4x4 (permanent),Automatic,SUV,5.0,black,,,,28/04/2021,"ul. Modelarska 10 - 40-142 Katowice, Wełnowiec-Józefowiec (Polska)","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Rain sensor', 'Front parking sensors', 'Electrochromic rear view mirror', 'ESP(stabilization of the track)', 'USB socket', 'Automatic air conditioning', 'Air curtains', 'Heated side mirrors', 'Rear side airbags', 'Start-Stop system', 'Leather upholstery', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Lane assistant', 'Blind spot sensor', 'Rear parking sensors', 'Electric rear windows', 'AUX socket', 'Isofix', 'Dual zone air conditioning', 'GPS navigation', 'Airbag protecting the knees', 'Adjustable suspension', 'LED lights', 'Active cruise control', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Bluetooth', 'Twilight sensor', 'Electrochromic side mirrors', 'Electrically adjustable seats', 'SD socket', 'Rear view camera', 'On-board computer', 'Speed limiter', 'Front side airbags', 'Roof rails', 'Fog lights', 'Multifunction steering wheel']"
124635,77900,PLN,New,Opel,Crossland X,1.2 GS Line,,2021,1.0,83.0,1199.0,Gasoline,,Front wheels,Manual,minivan,5.0,white,,,,29/04/2021,"Rawska 2-4 - 82-300 Elbląg, Warmińsko-mazurskie (Polska)","['ABS', 'Electrically adjustable mirrors', 'Power steering', 'Parking assistant', 'Front parking sensors', 'ESP(stabilization of the track)', 'Rear view camera', 'Air curtains', 'Tinted windows', 'LED lights', 'Central locking', 'Passengers airbag', 'Alloy wheels', 'Lane assistant', 'Rear parking sensors', 'USB socket', 'Manual air conditioning', 'Speed limiter', 'Start-Stop system', 'Cruise control', 'Electric front windows', 'Factory radio', 'ASR (traction control)', 'Rain sensor', 'Electric rear windows', 'Isofix', 'On-board computer', 'Heated side mirrors', 'Daytime running lights', 'Multifunction steering wheel']"
59527,85990,PLN,New,Ford,Focus,1.0 EcoBoost Titanium,Mk4 (2018-),2020,1.0,125.0,999.0,Gasoline,108.0,Front wheels,Manual,compact,5.0,gray,Poland,,,03/05/2021,"Średnia 3 - 41-800 Zabrze, Śląskie (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Bluetooth', 'Electrochromic rear view mirror', 'USB socket', 'Automatic air conditioning', 'Air curtains', 'Heated front seats', 'Start-Stop system', 'Cruise control', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Rain sensor', 'Electric rear windows', 'Isofix', 'Dual zone air conditioning', 'MP3', 'Front side airbags', 'Daytime running lights', 'Multifunction steering wheel', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Lane assistant', 'Twilight sensor', 'ESP(stabilization of the track)', 'Rear view camera', 'On-board computer', 'Heated windscreen', 'Tinted windows', 'Fog lights']"
46646,68000,PLN,New,Dacia,Duster,1.0 TCe Prestige,,2020,1.0,100.0,999.0,Gasoline + LPG,,Front wheels,Manual,SUV,5.0,white,,,,28/04/2021,"MORSKA 517A - 81-002 Gdynia, Pomorskie (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Blind spot sensor', 'Rear parking sensors', 'AUX socket', 'Rear view camera', 'MP3', 'Heated side mirrors', 'Roof rails', 'LED lights', 'Cruise control', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Twilight sensor', 'Electric rear windows', 'USB socket', 'Manual air conditioning', 'GPS navigation', 'Front side airbags', 'Start-Stop system', 'Fog lights', 'Multifunction steering wheel', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Front parking sensors', 'ESP(stabilization of the track)', 'Isofix', 'Air curtains', 'Speed limiter', 'Tinted windows', 'Daytime running lights', 'Velor upholstery']"
132911,140000,PLN,New,MINI,Other,,,2020,1.0,231.0,1998.0,Gasoline,,Front wheels,Automatic,city_cars,3.0,gray,,,,25/04/2021,"al. Jana Pawła II 45 - 31-864 Kraków, Małopolskie (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Rear parking sensors', 'Isofix', 'Dual zone air conditioning', 'Shift paddles', 'Speed limiter', 'Front side airbags', 'Start-Stop system', 'Velor upholstery', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Rain sensor', 'ESP(stabilization of the track)', 'Rear view camera', 'On-board computer', 'MP3', 'Heated side mirrors', 'Tinted windows', 'Daytime running lights', 'Cruise control', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Twilight sensor', 'USB socket', 'Automatic air conditioning', 'Air curtains', 'GPS navigation', 'Heated front seats', 'Adjustable suspension', 'LED lights', 'Multifunction steering wheel']"
34919,369840,PLN,New,BMW,X6,xDrive40d,G06 (2019-),2021,1.0,340.0,2993.0,Diesel,155.0,4x4 (attached automatically),Automatic,SUV,5.0,gray,,,,02/05/2021,"Centrum - 00-950 Warszawa, Śródmieście (Polska)","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Bluetooth', 'Twilight sensor', 'Electrochromic side mirrors', 'ESP(stabilization of the track)', 'Isofix', 'Dual zone air conditioning', 'GPS navigation', 'Adjustable suspension', 'Daytime running lights', 'Multifunction steering wheel', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Parking assistant', 'Rain sensor', 'Front parking sensors', 'Electric rear windows', 'USB socket', 'Rear view camera', 'On-board computer', 'Heated front seats', 'Roof rails', 'Leather upholstery', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Lane assistant', 'Blind spot sensor', 'Rear parking sensors', 'Electrically adjustable seats', 'HUD(head-up display)', 'Automatic air conditioning', 'Shift paddles', 'Tinted windows', 'Start-Stop system', 'Cruise control']"
198298,91000,PLN,New,Volkswagen,T-Cross,,,2021,1.0,110.0,1000.0,Gasoline,,Front wheels,Manual,SUV,5.0,gray,Poland,,,03/05/2021,"Makuszyńskiego 74/76 - 42-209 Częstochowa, Północ (Polska)",[]
